Reference Station Name,Relationship Type,Related Station Name,Value (km/m)
S1,Within +/- 100m Elevation,S118,55.00 m
S1,Within +/- 100m Elevation,S119,44.00 m
S1,Within +/- 100m Elevation,S120,88.00 m
S1,Within +/- 100m Elevation,S122,37.00 m
S1,Within +/- 100m Elevation,S124,59.00 m
S1,Within +/- 100m Elevation,S126,76.00 m
S1,Within +/- 100m Elevation,S137,27.00 m
S1,Within +/- 100m Elevation,S144,44.00 m
S1,Within +/- 100m Elevation,S177,93.00 m
S1,Within +/- 100m Elevation,S237,83.00 m
S1,Within +/- 100m Elevation,S43,63.00 m
S1,Within +/- 100m Elevation,S60,52.00 m
S1,Within +/- 100m Elevation,S61,98.00 m
S1,Within +/- 100m Elevation,S62,100.00 m
S1,Within +/- 100m Elevation,S63,58.00 m
S1,Within +/- 100m Elevation,S67,80.00 m
S1,Within +/- 100m Elevation,S76,52.00 m
S1,Within +/- 100m Elevation,S94,52.00 m
S1,Within 100km,S10,66.69 km
S1,Within 100km,S11,61.18 km
S1,Within 100km,S12,93.84 km
S1,Within 100km,S13,93.20 km
S1,Within 100km,S17,94.04 km
S1,Within 100km,S18,97.29 km
S1,Within 100km,S19,66.07 km
S1,Within 100km,S2,16.48 km
S1,Within 100km,S21,62.09 km
S1,Within 100km,S22,87.05 km
S1,Within 100km,S23,90.15 km
S1,Within 100km,S24,58.57 km
S1,Within 100km,S25,91.25 km
S1,Within 100km,S3,21.26 km
S1,Within 100km,S4,39.98 km
S1,Within 100km,S5,83.72 km
S1,Within 100km,S7,20.77 km
S1,Within 100km,S8,18.33 km
S1,Within 100km,S9,30.26 km
S1,Within 50km,S2,16.48 km
S1,Within 50km,S3,21.26 km
S1,Within 50km,S4,39.98 km
S1,Within 50km,S7,20.77 km
S1,Within 50km,S8,18.33 km
S1,Within 50km,S9,30.26 km
S10,Within +/- 100m Elevation,S11,5.00 m
S10,Within +/- 100m Elevation,S110,49.00 m
S10,Within +/- 100m Elevation,S117,30.00 m
S10,Within +/- 100m Elevation,S13,84.00 m
S10,Within +/- 100m Elevation,S141,12.00 m
S10,Within +/- 100m Elevation,S192,1.00 m
S10,Within +/- 100m Elevation,S2,48.00 m
S10,Within +/- 100m Elevation,S204,27.00 m
S10,Within +/- 100m Elevation,S21,60.00 m
S10,Within +/- 100m Elevation,S225,84.00 m
S10,Within +/- 100m Elevation,S228,96.00 m
S10,Within +/- 100m Elevation,S23,6.00 m
S10,Within +/- 100m Elevation,S3,12.00 m
S10,Within +/- 100m Elevation,S39,90.00 m
S10,Within +/- 100m Elevation,S41,64.00 m
S10,Within +/- 100m Elevation,S59,10.00 m
S10,Within 100km,S1,66.69 km
S10,Within 100km,S11,38.64 km
S10,Within 100km,S12,27.54 km
S10,Within 100km,S13,61.69 km
S10,Within 100km,S14,70.25 km
S10,Within 100km,S18,65.41 km
S10,Within 100km,S19,19.25 km
S10,Within 100km,S2,77.73 km
S10,Within 100km,S21,68.57 km
S10,Within 100km,S22,97.16 km
S10,Within 100km,S23,46.14 km
S10,Within 100km,S24,41.94 km
S10,Within 100km,S25,44.29 km
S10,Within 100km,S26,58.65 km
S10,Within 100km,S27,98.17 km
S10,Within 100km,S29,58.99 km
S10,Within 100km,S3,65.58 km
S10,Within 100km,S30,90.70 km
S10,Within 100km,S31,83.70 km
S10,Within 100km,S32,77.65 km
S10,Within 100km,S33,52.83 km
S10,Within 100km,S35,74.47 km
S10,Within 100km,S37,85.05 km
S10,Within 100km,S38,75.01 km
S10,Within 100km,S39,92.44 km
S10,Within 100km,S4,66.89 km
S10,Within 100km,S40,86.23 km
S10,Within 100km,S47,92.31 km
S10,Within 100km,S7,72.66 km
S10,Within 100km,S8,69.84 km
S10,Within 100km,S9,36.47 km
S10,Within 50km,S11,38.64 km
S10,Within 50km,S12,27.54 km
S10,Within 50km,S19,19.25 km
S10,Within 50km,S23,46.14 km
S10,Within 50km,S24,41.94 km
S10,Within 50km,S25,44.29 km
S10,Within 50km,S9,36.47 km
S100,Within +/- 100m Elevation,S101,57.00 m
S100,Within +/- 100m Elevation,S102,72.00 m
S100,Within +/- 100m Elevation,S103,3.00 m
S100,Within +/- 100m Elevation,S104,68.00 m
S100,Within +/- 100m Elevation,S105,68.00 m
S100,Within +/- 100m Elevation,S106,13.00 m
S100,Within +/- 100m Elevation,S108,74.00 m
S100,Within +/- 100m Elevation,S109,10.00 m
S100,Within +/- 100m Elevation,S111,32.00 m
S100,Within +/- 100m Elevation,S114,85.00 m
S100,Within +/- 100m Elevation,S115,70.00 m
S100,Within +/- 100m Elevation,S145,9.00 m
S100,Within +/- 100m Elevation,S146,3.00 m
S100,Within +/- 100m Elevation,S15,31.00 m
S100,Within +/- 100m Elevation,S150,43.00 m
S100,Within +/- 100m Elevation,S151,64.00 m
S100,Within +/- 100m Elevation,S152,93.00 m
S100,Within +/- 100m Elevation,S153,28.00 m
S100,Within +/- 100m Elevation,S157,92.00 m
S100,Within +/- 100m Elevation,S158,80.00 m
S100,Within +/- 100m Elevation,S16,21.00 m
S100,Within +/- 100m Elevation,S160,66.00 m
S100,Within +/- 100m Elevation,S162,36.00 m
S100,Within +/- 100m Elevation,S17,4.00 m
S100,Within +/- 100m Elevation,S173,9.00 m
S100,Within +/- 100m Elevation,S174,91.00 m
S100,Within +/- 100m Elevation,S176,53.00 m
S100,Within +/- 100m Elevation,S178,50.00 m
S100,Within +/- 100m Elevation,S179,90.00 m
S100,Within +/- 100m Elevation,S180,20.00 m
S100,Within +/- 100m Elevation,S181,93.00 m
S100,Within +/- 100m Elevation,S182,41.00 m
S100,Within +/- 100m Elevation,S193,97.00 m
S100,Within +/- 100m Elevation,S195,70.00 m
S100,Within +/- 100m Elevation,S20,32.00 m
S100,Within +/- 100m Elevation,S202,1.00 m
S100,Within +/- 100m Elevation,S210,34.00 m
S100,Within +/- 100m Elevation,S212,87.00 m
S100,Within +/- 100m Elevation,S214,75.00 m
S100,Within +/- 100m Elevation,S217,60.00 m
S100,Within +/- 100m Elevation,S219,12.00 m
S100,Within +/- 100m Elevation,S22,100.00 m
S100,Within +/- 100m Elevation,S222,76.00 m
S100,Within +/- 100m Elevation,S229,61.00 m
S100,Within +/- 100m Elevation,S230,58.00 m
S100,Within +/- 100m Elevation,S233,90.00 m
S100,Within +/- 100m Elevation,S234,12.00 m
S100,Within +/- 100m Elevation,S238,73.00 m
S100,Within +/- 100m Elevation,S40,63.00 m
S100,Within +/- 100m Elevation,S44,20.00 m
S100,Within +/- 100m Elevation,S45,54.00 m
S100,Within +/- 100m Elevation,S46,51.00 m
S100,Within +/- 100m Elevation,S48,47.00 m
S100,Within +/- 100m Elevation,S49,19.00 m
S100,Within +/- 100m Elevation,S5,17.00 m
S100,Within +/- 100m Elevation,S51,30.00 m
S100,Within +/- 100m Elevation,S52,14.00 m
S100,Within +/- 100m Elevation,S53,39.00 m
S100,Within +/- 100m Elevation,S54,35.00 m
S100,Within +/- 100m Elevation,S56,19.00 m
S100,Within +/- 100m Elevation,S57,15.00 m
S100,Within +/- 100m Elevation,S6,16.00 m
S100,Within +/- 100m Elevation,S64,20.00 m
S100,Within 100km,S101,59.91 km
S100,Within 100km,S102,21.34 km
S100,Within 100km,S103,75.07 km
S100,Within 100km,S104,18.40 km
S100,Within 100km,S105,27.42 km
S100,Within 100km,S106,41.17 km
S100,Within 100km,S107,41.67 km
S100,Within 100km,S108,41.64 km
S100,Within 100km,S109,41.70 km
S100,Within 100km,S110,56.36 km
S100,Within 100km,S111,66.53 km
S100,Within 100km,S112,46.53 km
S100,Within 100km,S113,51.80 km
S100,Within 100km,S114,31.18 km
S100,Within 100km,S115,40.33 km
S100,Within 100km,S116,38.49 km
S100,Within 100km,S119,75.53 km
S100,Within 100km,S120,60.13 km
S100,Within 100km,S122,98.82 km
S100,Within 100km,S123,96.46 km
S100,Within 100km,S125,43.77 km
S100,Within 100km,S126,76.71 km
S100,Within 100km,S127,72.49 km
S100,Within 100km,S128,75.33 km
S100,Within 100km,S129,71.32 km
S100,Within 100km,S131,84.46 km
S100,Within 100km,S132,80.08 km
S100,Within 100km,S134,83.31 km
S100,Within 100km,S136,96.84 km
S100,Within 100km,S137,42.39 km
S100,Within 100km,S138,70.45 km
S100,Within 100km,S139,72.38 km
S100,Within 100km,S140,75.34 km
S100,Within 100km,S141,62.38 km
S100,Within 100km,S144,78.51 km
S100,Within 100km,S145,87.21 km
S100,Within 100km,S162,94.82 km
S100,Within 100km,S60,75.59 km
S100,Within 100km,S64,92.67 km
S100,Within 100km,S72,64.65 km
S100,Within 100km,S73,88.74 km
S100,Within 100km,S76,73.65 km
S100,Within 100km,S79,60.41 km
S100,Within 100km,S80,62.52 km
S100,Within 100km,S81,86.68 km
S100,Within 100km,S82,81.61 km
S100,Within 100km,S83,82.72 km
S100,Within 100km,S84,41.67 km
S100,Within 100km,S85,76.88 km
S100,Within 100km,S86,50.81 km
S100,Within 100km,S90,83.90 km
S100,Within 100km,S91,76.62 km
S100,Within 100km,S92,91.05 km
S100,Within 100km,S93,97.33 km
S100,Within 100km,S94,50.90 km
S100,Within 100km,S95,70.63 km
S100,Within 100km,S96,58.49 km
S100,Within 100km,S98,27.25 km
S100,Within 100km,S99,20.12 km
S100,Within 50km,S102,21.34 km
S100,Within 50km,S104,18.40 km
S100,Within 50km,S105,27.42 km
S100,Within 50km,S106,41.17 km
S100,Within 50km,S107,41.67 km
S100,Within 50km,S108,41.64 km
S100,Within 50km,S109,41.70 km
S100,Within 50km,S112,46.53 km
S100,Within 50km,S114,31.18 km
S100,Within 50km,S115,40.33 km
S100,Within 50km,S116,38.49 km
S100,Within 50km,S125,43.77 km
S100,Within 50km,S137,42.39 km
S100,Within 50km,S84,41.67 km
S100,Within 50km,S98,27.25 km
S100,Within 50km,S99,20.12 km
S101,Within +/- 100m Elevation,S100,57.00 m
S101,Within +/- 100m Elevation,S103,54.00 m
S101,Within +/- 100m Elevation,S106,70.00 m
S101,Within +/- 100m Elevation,S109,47.00 m
S101,Within +/- 100m Elevation,S111,89.00 m
S101,Within +/- 100m Elevation,S145,48.00 m
S101,Within +/- 100m Elevation,S146,60.00 m
S101,Within +/- 100m Elevation,S149,73.00 m
S101,Within +/- 100m Elevation,S15,88.00 m
S101,Within +/- 100m Elevation,S150,100.00 m
S101,Within +/- 100m Elevation,S151,7.00 m
S101,Within +/- 100m Elevation,S153,85.00 m
S101,Within +/- 100m Elevation,S157,35.00 m
S101,Within +/- 100m Elevation,S16,78.00 m
S101,Within +/- 100m Elevation,S162,21.00 m
S101,Within +/- 100m Elevation,S17,53.00 m
S101,Within +/- 100m Elevation,S173,48.00 m
S101,Within +/- 100m Elevation,S174,34.00 m
S101,Within +/- 100m Elevation,S178,7.00 m
S101,Within +/- 100m Elevation,S180,37.00 m
S101,Within +/- 100m Elevation,S182,98.00 m
S101,Within +/- 100m Elevation,S20,89.00 m
S101,Within +/- 100m Elevation,S202,58.00 m
S101,Within +/- 100m Elevation,S209,49.00 m
S101,Within +/- 100m Elevation,S210,91.00 m
S101,Within +/- 100m Elevation,S211,73.00 m
S101,Within +/- 100m Elevation,S219,69.00 m
S101,Within +/- 100m Elevation,S22,43.00 m
S101,Within +/- 100m Elevation,S222,19.00 m
S101,Within +/- 100m Elevation,S234,69.00 m
S101,Within +/- 100m Elevation,S40,6.00 m
S101,Within +/- 100m Elevation,S44,37.00 m
S101,Within +/- 100m Elevation,S49,76.00 m
S101,Within +/- 100m Elevation,S5,40.00 m
S101,Within +/- 100m Elevation,S51,87.00 m
S101,Within +/- 100m Elevation,S52,71.00 m
S101,Within +/- 100m Elevation,S53,96.00 m
S101,Within +/- 100m Elevation,S54,92.00 m
S101,Within +/- 100m Elevation,S56,76.00 m
S101,Within +/- 100m Elevation,S57,72.00 m
S101,Within +/- 100m Elevation,S6,73.00 m
S101,Within +/- 100m Elevation,S64,37.00 m
S101,Within 100km,S100,59.91 km
S101,Within 100km,S102,67.10 km
S101,Within 100km,S103,15.19 km
S101,Within 100km,S104,62.85 km
S101,Within 100km,S105,44.15 km
S101,Within 100km,S106,22.39 km
S101,Within 100km,S107,96.89 km
S101,Within 100km,S108,99.90 km
S101,Within 100km,S110,96.47 km
S101,Within 100km,S112,92.40 km
S101,Within 100km,S113,24.18 km
S101,Within 100km,S114,81.91 km
S101,Within 100km,S115,36.54 km
S101,Within 100km,S116,94.88 km
S101,Within 100km,S118,72.99 km
S101,Within 100km,S119,59.15 km
S101,Within 100km,S120,51.14 km
S101,Within 100km,S122,56.85 km
S101,Within 100km,S123,44.13 km
S101,Within 100km,S124,60.44 km
S101,Within 100km,S125,33.64 km
S101,Within 100km,S126,61.24 km
S101,Within 100km,S127,70.20 km
S101,Within 100km,S128,73.57 km
S101,Within 100km,S129,39.17 km
S101,Within 100km,S130,98.55 km
S101,Within 100km,S131,38.15 km
S101,Within 100km,S132,66.07 km
S101,Within 100km,S134,83.25 km
S101,Within 100km,S135,72.32 km
S101,Within 100km,S136,76.03 km
S101,Within 100km,S137,45.99 km
S101,Within 100km,S138,26.17 km
S101,Within 100km,S139,72.27 km
S101,Within 100km,S140,72.34 km
S101,Within 100km,S141,47.99 km
S101,Within 100km,S144,61.05 km
S101,Within 100km,S145,27.32 km
S101,Within 100km,S146,45.10 km
S101,Within 100km,S148,98.10 km
S101,Within 100km,S157,74.07 km
S101,Within 100km,S161,82.87 km
S101,Within 100km,S162,34.99 km
S101,Within 100km,S164,84.33 km
S101,Within 100km,S166,85.04 km
S101,Within 100km,S72,80.33 km
S101,Within 100km,S73,98.88 km
S101,Within 100km,S76,90.19 km
S101,Within 100km,S79,64.40 km
S101,Within 100km,S80,72.56 km
S101,Within 100km,S82,88.43 km
S101,Within 100km,S83,87.30 km
S101,Within 100km,S84,58.10 km
S101,Within 100km,S86,72.76 km
S101,Within 100km,S90,98.38 km
S101,Within 100km,S91,97.83 km
S101,Within 100km,S94,66.32 km
S101,Within 100km,S96,88.34 km
S101,Within 100km,S98,68.66 km
S101,Within 100km,S99,56.73 km
S101,Within 50km,S103,15.19 km
S101,Within 50km,S105,44.15 km
S101,Within 50km,S106,22.39 km
S101,Within 50km,S113,24.18 km
S101,Within 50km,S115,36.54 km
S101,Within 50km,S123,44.13 km
S101,Within 50km,S125,33.64 km
S101,Within 50km,S129,39.17 km
S101,Within 50km,S131,38.15 km
S101,Within 50km,S137,45.99 km
S101,Within 50km,S138,26.17 km
S101,Within 50km,S141,47.99 km
S101,Within 50km,S145,27.32 km
S101,Within 50km,S146,45.10 km
S101,Within 50km,S162,34.99 km
S102,Within +/- 100m Elevation,S100,72.00 m
S102,Within +/- 100m Elevation,S103,75.00 m
S102,Within +/- 100m Elevation,S104,4.00 m
S102,Within +/- 100m Elevation,S105,4.00 m
S102,Within +/- 100m Elevation,S106,59.00 m
S102,Within +/- 100m Elevation,S108,2.00 m
S102,Within +/- 100m Elevation,S109,82.00 m
S102,Within +/- 100m Elevation,S111,40.00 m
S102,Within +/- 100m Elevation,S114,13.00 m
S102,Within +/- 100m Elevation,S115,2.00 m
S102,Within +/- 100m Elevation,S145,81.00 m
S102,Within +/- 100m Elevation,S146,69.00 m
S102,Within +/- 100m Elevation,S15,41.00 m
S102,Within +/- 100m Elevation,S150,29.00 m
S102,Within +/- 100m Elevation,S152,21.00 m
S102,Within +/- 100m Elevation,S153,44.00 m
S102,Within +/- 100m Elevation,S155,41.00 m
S102,Within +/- 100m Elevation,S158,8.00 m
S102,Within +/- 100m Elevation,S159,31.00 m
S102,Within +/- 100m Elevation,S16,51.00 m
S102,Within +/- 100m Elevation,S160,6.00 m
S102,Within +/- 100m Elevation,S17,76.00 m
S102,Within +/- 100m Elevation,S173,81.00 m
S102,Within +/- 100m Elevation,S175,32.00 m
S102,Within +/- 100m Elevation,S176,19.00 m
S102,Within +/- 100m Elevation,S179,18.00 m
S102,Within +/- 100m Elevation,S180,92.00 m
S102,Within +/- 100m Elevation,S181,21.00 m
S102,Within +/- 100m Elevation,S182,31.00 m
S102,Within +/- 100m Elevation,S183,40.00 m
S102,Within +/- 100m Elevation,S193,25.00 m
S102,Within +/- 100m Elevation,S195,2.00 m
S102,Within +/- 100m Elevation,S196,45.00 m
S102,Within +/- 100m Elevation,S199,40.00 m
S102,Within +/- 100m Elevation,S20,40.00 m
S102,Within +/- 100m Elevation,S201,37.00 m
S102,Within +/- 100m Elevation,S202,71.00 m
S102,Within +/- 100m Elevation,S210,38.00 m
S102,Within +/- 100m Elevation,S212,15.00 m
S102,Within +/- 100m Elevation,S214,3.00 m
S102,Within +/- 100m Elevation,S216,36.00 m
S102,Within +/- 100m Elevation,S217,12.00 m
S102,Within +/- 100m Elevation,S219,60.00 m
S102,Within +/- 100m Elevation,S229,11.00 m
S102,Within +/- 100m Elevation,S230,14.00 m
S102,Within +/- 100m Elevation,S233,18.00 m
S102,Within +/- 100m Elevation,S234,60.00 m
S102,Within +/- 100m Elevation,S238,1.00 m
S102,Within +/- 100m Elevation,S239,37.00 m
S102,Within +/- 100m Elevation,S44,92.00 m
S102,Within +/- 100m Elevation,S45,18.00 m
S102,Within +/- 100m Elevation,S46,21.00 m
S102,Within +/- 100m Elevation,S48,25.00 m
S102,Within +/- 100m Elevation,S49,53.00 m
S102,Within +/- 100m Elevation,S5,89.00 m
S102,Within +/- 100m Elevation,S51,42.00 m
S102,Within +/- 100m Elevation,S52,58.00 m
S102,Within +/- 100m Elevation,S53,33.00 m
S102,Within +/- 100m Elevation,S54,37.00 m
S102,Within +/- 100m Elevation,S56,53.00 m
S102,Within +/- 100m Elevation,S57,57.00 m
S102,Within +/- 100m Elevation,S6,56.00 m
S102,Within +/- 100m Elevation,S64,92.00 m
S102,Within 100km,S100,21.34 km
S102,Within 100km,S101,67.10 km
S102,Within 100km,S103,81.95 km
S102,Within 100km,S104,4.46 km
S102,Within 100km,S105,23.88 km
S102,Within 100km,S106,45.08 km
S102,Within 100km,S107,54.32 km
S102,Within 100km,S108,35.56 km
S102,Within 100km,S109,45.97 km
S102,Within 100km,S110,75.25 km
S102,Within 100km,S111,64.61 km
S102,Within 100km,S112,64.31 km
S102,Within 100km,S113,66.11 km
S102,Within 100km,S114,14.81 km
S102,Within 100km,S115,36.33 km
S102,Within 100km,S116,50.33 km
S102,Within 100km,S119,94.68 km
S102,Within 100km,S120,79.43 km
S102,Within 100km,S125,60.54 km
S102,Within 100km,S126,96.05 km
S102,Within 100km,S127,93.15 km
S102,Within 100km,S128,96.11 km
S102,Within 100km,S129,87.41 km
S102,Within 100km,S131,98.00 km
S102,Within 100km,S132,99.75 km
S102,Within 100km,S137,61.83 km
S102,Within 100km,S138,83.62 km
S102,Within 100km,S139,93.21 km
S102,Within 100km,S140,96.02 km
S102,Within 100km,S141,81.03 km
S102,Within 100km,S144,97.64 km
S102,Within 100km,S145,93.14 km
S102,Within 100km,S60,86.77 km
S102,Within 100km,S64,90.61 km
S102,Within 100km,S72,85.99 km
S102,Within 100km,S76,94.94 km
S102,Within 100km,S79,81.22 km
S102,Within 100km,S80,83.74 km
S102,Within 100km,S84,62.67 km
S102,Within 100km,S85,97.48 km
S102,Within 100km,S86,72.15 km
S102,Within 100km,S91,97.66 km
S102,Within 100km,S94,72.14 km
S102,Within 100km,S95,88.83 km
S102,Within 100km,S96,79.16 km
S102,Within 100km,S98,48.06 km
S102,Within 100km,S99,41.35 km
S102,Within 50km,S100,21.34 km
S102,Within 50km,S104,4.46 km
S102,Within 50km,S105,23.88 km
S102,Within 50km,S106,45.08 km
S102,Within 50km,S108,35.56 km
S102,Within 50km,S109,45.97 km
S102,Within 50km,S114,14.81 km
S102,Within 50km,S115,36.33 km
S102,Within 50km,S98,48.06 km
S102,Within 50km,S99,41.35 km
S103,Within +/- 100m Elevation,S100,3.00 m
S103,Within +/- 100m Elevation,S101,54.00 m
S103,Within +/- 100m Elevation,S102,75.00 m
S103,Within +/- 100m Elevation,S104,71.00 m
S103,Within +/- 100m Elevation,S105,71.00 m
S103,Within +/- 100m Elevation,S106,16.00 m
S103,Within +/- 100m Elevation,S108,77.00 m
S103,Within +/- 100m Elevation,S109,7.00 m
S103,Within +/- 100m Elevation,S111,35.00 m
S103,Within +/- 100m Elevation,S114,88.00 m
S103,Within +/- 100m Elevation,S115,73.00 m
S103,Within +/- 100m Elevation,S145,6.00 m
S103,Within +/- 100m Elevation,S146,6.00 m
S103,Within +/- 100m Elevation,S15,34.00 m
S103,Within +/- 100m Elevation,S150,46.00 m
S103,Within +/- 100m Elevation,S151,61.00 m
S103,Within +/- 100m Elevation,S152,96.00 m
S103,Within +/- 100m Elevation,S153,31.00 m
S103,Within +/- 100m Elevation,S157,89.00 m
S103,Within +/- 100m Elevation,S158,83.00 m
S103,Within +/- 100m Elevation,S16,24.00 m
S103,Within +/- 100m Elevation,S160,69.00 m
S103,Within +/- 100m Elevation,S162,33.00 m
S103,Within +/- 100m Elevation,S17,1.00 m
S103,Within +/- 100m Elevation,S173,6.00 m
S103,Within +/- 100m Elevation,S174,88.00 m
S103,Within +/- 100m Elevation,S176,56.00 m
S103,Within +/- 100m Elevation,S178,47.00 m
S103,Within +/- 100m Elevation,S179,93.00 m
S103,Within +/- 100m Elevation,S180,17.00 m
S103,Within +/- 100m Elevation,S181,96.00 m
S103,Within +/- 100m Elevation,S182,44.00 m
S103,Within +/- 100m Elevation,S193,100.00 m
S103,Within +/- 100m Elevation,S195,73.00 m
S103,Within +/- 100m Elevation,S20,35.00 m
S103,Within +/- 100m Elevation,S202,4.00 m
S103,Within +/- 100m Elevation,S210,37.00 m
S103,Within +/- 100m Elevation,S212,90.00 m
S103,Within +/- 100m Elevation,S214,78.00 m
S103,Within +/- 100m Elevation,S217,63.00 m
S103,Within +/- 100m Elevation,S219,15.00 m
S103,Within +/- 100m Elevation,S22,97.00 m
S103,Within +/- 100m Elevation,S222,73.00 m
S103,Within +/- 100m Elevation,S229,64.00 m
S103,Within +/- 100m Elevation,S230,61.00 m
S103,Within +/- 100m Elevation,S233,93.00 m
S103,Within +/- 100m Elevation,S234,15.00 m
S103,Within +/- 100m Elevation,S238,76.00 m
S103,Within +/- 100m Elevation,S40,60.00 m
S103,Within +/- 100m Elevation,S44,17.00 m
S103,Within +/- 100m Elevation,S45,57.00 m
S103,Within +/- 100m Elevation,S46,54.00 m
S103,Within +/- 100m Elevation,S48,50.00 m
S103,Within +/- 100m Elevation,S49,22.00 m
S103,Within +/- 100m Elevation,S5,14.00 m
S103,Within +/- 100m Elevation,S51,33.00 m
S103,Within +/- 100m Elevation,S52,17.00 m
S103,Within +/- 100m Elevation,S53,42.00 m
S103,Within +/- 100m Elevation,S54,38.00 m
S103,Within +/- 100m Elevation,S56,22.00 m
S103,Within +/- 100m Elevation,S57,18.00 m
S103,Within +/- 100m Elevation,S6,19.00 m
S103,Within +/- 100m Elevation,S64,17.00 m
S103,Within 100km,S100,75.07 km
S103,Within 100km,S101,15.19 km
S103,Within 100km,S102,81.95 km
S103,Within 100km,S104,77.76 km
S103,Within 100km,S105,58.63 km
S103,Within 100km,S106,36.92 km
S103,Within 100km,S113,33.78 km
S103,Within 100km,S114,96.75 km
S103,Within 100km,S115,49.60 km
S103,Within 100km,S118,68.06 km
S103,Within 100km,S119,62.73 km
S103,Within 100km,S120,58.18 km
S103,Within 100km,S122,50.91 km
S103,Within 100km,S123,33.90 km
S103,Within 100km,S124,48.00 km
S103,Within 100km,S125,44.85 km
S103,Within 100km,S126,64.81 km
S103,Within 100km,S127,76.31 km
S103,Within 100km,S128,79.47 km
S103,Within 100km,S129,40.96 km
S103,Within 100km,S130,96.67 km
S103,Within 100km,S131,32.78 km
S103,Within 100km,S132,69.46 km
S103,Within 100km,S134,88.73 km
S103,Within 100km,S135,62.35 km
S103,Within 100km,S136,76.29 km
S103,Within 100km,S137,57.04 km
S103,Within 100km,S138,26.05 km
S103,Within 100km,S139,78.70 km
S103,Within 100km,S140,78.05 km
S103,Within 100km,S141,54.11 km
S103,Within 100km,S144,64.03 km
S103,Within 100km,S145,12.40 km
S103,Within 100km,S146,30.61 km
S103,Within 100km,S147,90.66 km
S103,Within 100km,S148,83.86 km
S103,Within 100km,S149,87.42 km
S103,Within 100km,S150,93.81 km
S103,Within 100km,S152,96.50 km
S103,Within 100km,S154,90.98 km
S103,Within 100km,S155,97.27 km
S103,Within 100km,S156,96.07 km
S103,Within 100km,S157,59.47 km
S103,Within 100km,S161,68.63 km
S103,Within 100km,S162,19.79 km
S103,Within 100km,S164,71.18 km
S103,Within 100km,S165,95.69 km
S103,Within 100km,S166,70.55 km
S103,Within 100km,S72,89.49 km
S103,Within 100km,S76,98.86 km
S103,Within 100km,S79,72.64 km
S103,Within 100km,S80,81.23 km
S103,Within 100km,S82,95.15 km
S103,Within 100km,S83,93.59 km
S103,Within 100km,S84,69.52 km
S103,Within 100km,S86,83.62 km
S103,Within 100km,S94,76.63 km
S103,Within 100km,S96,99.52 km
S103,Within 100km,S98,82.40 km
S103,Within 100km,S99,70.85 km
S103,Within 50km,S101,15.19 km
S103,Within 50km,S106,36.92 km
S103,Within 50km,S113,33.78 km
S103,Within 50km,S115,49.60 km
S103,Within 50km,S123,33.90 km
S103,Within 50km,S124,48.00 km
S103,Within 50km,S125,44.85 km
S103,Within 50km,S129,40.96 km
S103,Within 50km,S131,32.78 km
S103,Within 50km,S138,26.05 km
S103,Within 50km,S145,12.40 km
S103,Within 50km,S146,30.61 km
S103,Within 50km,S162,19.79 km
S104,Within +/- 100m Elevation,S100,68.00 m
S104,Within +/- 100m Elevation,S102,4.00 m
S104,Within +/- 100m Elevation,S103,71.00 m
S104,Within +/- 100m Elevation,S105,0.00 m
S104,Within +/- 100m Elevation,S106,55.00 m
S104,Within +/- 100m Elevation,S108,6.00 m
S104,Within +/- 100m Elevation,S109,78.00 m
S104,Within +/- 100m Elevation,S111,36.00 m
S104,Within +/- 100m Elevation,S114,17.00 m
S104,Within +/- 100m Elevation,S115,2.00 m
S104,Within +/- 100m Elevation,S145,77.00 m
S104,Within +/- 100m Elevation,S146,65.00 m
S104,Within +/- 100m Elevation,S15,37.00 m
S104,Within +/- 100m Elevation,S150,25.00 m
S104,Within +/- 100m Elevation,S152,25.00 m
S104,Within +/- 100m Elevation,S153,40.00 m
S104,Within +/- 100m Elevation,S155,45.00 m
S104,Within +/- 100m Elevation,S158,12.00 m
S104,Within +/- 100m Elevation,S159,35.00 m
S104,Within +/- 100m Elevation,S16,47.00 m
S104,Within +/- 100m Elevation,S160,2.00 m
S104,Within +/- 100m Elevation,S17,72.00 m
S104,Within +/- 100m Elevation,S173,77.00 m
S104,Within +/- 100m Elevation,S175,36.00 m
S104,Within +/- 100m Elevation,S176,15.00 m
S104,Within +/- 100m Elevation,S179,22.00 m
S104,Within +/- 100m Elevation,S180,88.00 m
S104,Within +/- 100m Elevation,S181,25.00 m
S104,Within +/- 100m Elevation,S182,27.00 m
S104,Within +/- 100m Elevation,S183,44.00 m
S104,Within +/- 100m Elevation,S193,29.00 m
S104,Within +/- 100m Elevation,S195,2.00 m
S104,Within +/- 100m Elevation,S196,49.00 m
S104,Within +/- 100m Elevation,S199,44.00 m
S104,Within +/- 100m Elevation,S20,36.00 m
S104,Within +/- 100m Elevation,S201,41.00 m
S104,Within +/- 100m Elevation,S202,67.00 m
S104,Within +/- 100m Elevation,S210,34.00 m
S104,Within +/- 100m Elevation,S212,19.00 m
S104,Within +/- 100m Elevation,S214,7.00 m
S104,Within +/- 100m Elevation,S216,40.00 m
S104,Within +/- 100m Elevation,S217,8.00 m
S104,Within +/- 100m Elevation,S219,56.00 m
S104,Within +/- 100m Elevation,S229,7.00 m
S104,Within +/- 100m Elevation,S230,10.00 m
S104,Within +/- 100m Elevation,S233,22.00 m
